	ERR11588428_R1_filtered.fastq.gz	ERR11588429_R1_filtered.fastq.gz	ERR11588430_R1_filtered.fastq.gz	ERR11588431_R1_filtered.fastq.gz	ERR11588432_R1_filtered.fastq.gz	ERR11588433_R1_filtered.fastq.gz	ERR11588434_R1_filtered.fastq.gz	ERR11588435_R1_filtered.fastq.gz	ERR11588436_R1_filtered.fastq.gz	ERR11588437_R1_filtered.fastq.gz
ASV_422	19	20	24	0	0	0	15	0	0	0
ASV_423	0	0	0	78	0	0	0	0	0	0
ASV_424	0	0	0	0	78	0	0	0	0	0
ASV_425	0	0	0	0	0	78	0	0	0	0
ASV_426	0	0	0	0	0	0	0	78	0	0
ASV_427	77	0	0	0	0	0	0	0	0	0
ASV_428	77	0	0	0	0	0	0	0	0	0
ASV_429	0	36	41	0	0	0	0	0	0	0
ASV_430	0	0	0	77	0	0	0	0	0	0
ASV_431	0	0	0	51	11	15	0	0	0	0
ASV_432	0	0	0	0	0	77	0	0	0	0
ASV_433	0	0	0	0	0	0	77	0	0	0
ASV_434	0	0	0	0	0	0	0	77	0	0
ASV_435	76	0	0	0	0	0	0	0	0	0
ASV_436	61	0	15	0	0	0	0	0	0	0
ASV_437	0	76	0	0	0	0	0	0	0	0
ASV_438	0	0	0	0	0	0	0	76	0	0
ASV_439	0	0	0	0	0	0	0	76	0	0
ASV_440	0	0	0	0	0	0	0	0	76	0
ASV_441	0	0	0	0	0	0	0	0	76	0
ASV_442	75	0	0	0	0	0	0	0	0	0
ASV_443	0	0	75	0	0	0	0	0	0	0
ASV_444	0	0	75	0	0	0	0	0	0	0
ASV_445	0	0	0	75	0	0	0	0	0	0
ASV_446	0	0	0	0	75	0	0	0	0	0
ASV_447	0	0	0	0	75	0	0	0	0	0
ASV_448	0	0	0	0	0	0	75	0	0	0
ASV_449	0	0	0	0	0	0	75	0	0	0
ASV_450	0	0	0	0	0	0	59	16	0	0
ASV_451	0	0	0	0	0	0	25	50	0	0
ASV_452	0	0	0	0	0	0	0	75	0	0
ASV_453	0	0	0	0	0	0	0	0	75	0
ASV_454	0	0	0	0	0	0	0	0	0	75
ASV_455	74	0	0	0	0	0	0	0	0	0
ASV_456	32	21	21	0	0	0	0	0	0	0
ASV_457	0	74	0	0	0	0	0	0	0	0
ASV_458	0	74	0	0	0	0	0	0	0	0
ASV_459	0	0	0	74	0	0	0	0	0	0
ASV_460	0	0	0	0	74	0	0	0	0	0
ASV_461	0	0	0	0	74	0	0	0	0	0
ASV_462	0	0	0	0	0	0	74	0	0	0
ASV_463	0	0	0	0	0	0	74	0	0	0
ASV_464	0	0	0	0	0	0	0	74	0	0
ASV_465	0	0	0	0	0	0	0	74	0	0
ASV_466	19	25	19	0	0	0	10	0	0	0
ASV_467	15	33	25	0	0	0	0	0	0	0
ASV_468	0	30	43	0	0	0	0	0	0	0
ASV_469	0	0	0	73	0	0	0	0	0	0
ASV_470	0	0	0	73	0	0	0	0	0	0
ASV_471	0	0	0	73	0	0	0	0	0	0
ASV_472	0	0	0	0	0	0	12	61	0	0
ASV_473	0	0	0	0	0	0	0	73	0	0
ASV_474	0	0	0	0	0	0	0	73	0	0
ASV_475	0	0	0	0	0	0	0	0	73	0
ASV_476	0	0	0	0	0	0	0	0	73	0
ASV_477	24	17	31	0	0	0	0	0	0	0
ASV_478	18	38	16	0	0	0	0	0	0	0
ASV_479	0	72	0	0	0	0	0	0	0	0
ASV_480	0	72	0	0	0	0	0	0	0	0
ASV_481	0	24	48	0	0	0	0	0	0	0
ASV_482	0	0	72	0	0	0	0	0	0	0
ASV_483	0	0	0	72	0	0	0	0	0	0
ASV_484	0	0	0	0	72	0	0	0	0	0
